AMC,Code,Scheme Name,Scheme Type,Scheme Category,Scheme NAV Name,Scheme Minimum Amount,Launch Date,Closure Date,ISIN Div Payout/ ISIN GrowthISIN Div Reinvestment
Aditya Birla Sun Life AMC Limited,119436,Aditya Birla Sun Life Large & Mid Cap Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund - Growth - Direct Plan,5000,24-Feb-1995,24-Feb-1995,INF209K01VH8
Aditya Birla Sun Life AMC Limited,119657,Aditya Birla Sun Life Income Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Growth - Direct Plan,5000,01-Jan-1994,01-Jan-1994,INF209K01WY1
Aditya Birla Sun Life AMC Limited,119568,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,5000,04-Jun-1997,07-Jun-1997,INF209K01VA3
Aditya Birla Sun Life AMC Limited,119605,Aditya Birla Sun Life Government Securities Fund,Open Ended,Debt Scheme - Gilt Fund,Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan,5000,12-Oct-1999,12-Oct-1999,INF209K01XP7
Aditya Birla Sun Life AMC Limited,119646,Aditya Birla Sun Life MNC Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund - Growth - Direct Plan,5000,16-Nov-1998,16-Nov-1998,INF209K01VT3
DSP Asset Managers Private Limited,118924,DSP Bond Fund,Open Ended,Debt Scheme - Medium Duration Fund,DSP Bond Fund - Direct Plan - Growth,Rs. 1000/  and any amount thereafter,07-Apr-1997,15-Apr-1997,INF740K01MZ3
DSP Asset Managers Private Limited,119076,DSP Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,DSP Flexi Cap Fund - Direct Plan - Growth,Rs. 1000/  and any amount thereafter,04-Apr-1997,15-Apr-1997,INF740K01PI2
DSP Asset Managers Private Limited,119019,DSP Aggressive Hybrid Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,DSP Aggressive Hybrid Fund - Direct Plan - Growth,Rs. 1000/  and any amount thereafter,03-May-1999,14-May-1999,INF740K01NY4
DSP Asset Managers Private Limited,119099,DSP Gilt Fund,Open Ended,Debt Scheme - Gilt Fund,DSP Gilt Fund - Direct Plan - Growth,Rs. 100/  and any amount thereafter,20-Sep-1999,23-Sep-1999,INF740K01NF3
DSP Asset Managers Private Limited,119106,DSP Savings Fund,Open Ended,Debt Scheme - Money Market Fund,DSP Savings Fund - Direct Plan - Growth,Rs. 1000/- & any amount thereafter,20-Sep-1999,23-Sep-1999,INF740K01NU2
DSP Asset Managers Private Limited,119218,DSP Large & Mid Cap Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,DSP Large & Mid Cap Fund - Direct Plan - Growth,Rs. 1000/  and any amount thereafter,11-Mar-2000,18-Apr-2000,INF740K01PL6
HDFC Asset Management Company Limited,118968,HDFC Balanced Advantage Fund,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,For new investors  Rs.5000 For existing Rs. 1000,20-Jul-2000,10-Aug-2000,INF179K01WA6
HDFC Asset Management Company Limited,119069,HDFC Income Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,HDFC Income Fund - Growth Option - Direct Plan,REFER SID,11-Sep-2000,,INF179K01WL3
quant Money Managers Limited,120847,Quant ELSS Tax Saver Fund,Open Ended,Equity Scheme - ELSS,quant ELSS Tax Saver Fund - Growth Option - Direct Plan,Rs. 5000/-,08-Mar-2000,31-Mar-2000,INF966L01986
quant Money Managers Limited,120828,Quant Small Cap Fund,Open Ended,Equity Scheme - Small Cap Fund,quant Small Cap Fund - Growth Option - Direct Plan,Rs. 5000/-,23-Sep-1996,30-Oct-1996,INF966L01689
JM Financial Asset Management Limited,120490,JM Large Cap Fund,Open Ended,Equity Scheme - Large Cap Fund,JM Large Cap Fund (Direct) - Growth Option,Rs.5000/- & in multiples of any amount thereafter,01-Apr-1995,,INF192K01BZ0
JM Financial Asset Management Limited,120484,JM Aggressive Hybrid Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,JM Aggressive Hybrid Fund (Direct) - Growth Option,Rs.5000/- & in multiples of any amount thereafter,01-Apr-1995,01-Apr-1995,INF192K01BQ9
JM Financial Asset Management Limited,120430,JM Medium to Long Duration Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,JM Medium to Long Duration Fund (Direct) - Growth Option,5000,01-Jan-2013,,INF192K01CW5
JM Financial Asset Management Limited,148413,JM Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,JM Liquid Fund - Unclaimed Brokerage I.E.F. (Direct) - Growth Plan,5000,23-Dec-1997,,
JM Financial Asset Management Limited,148414,JM Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,JM Liquid Fund - Unclaimed Application Refund Amount I.E.F. (Direct) - Growth Plan,5000,23-Dec-1997,,
JM Financial Asset Management Limited,148415,JM Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,JM Liquid Fund - Withheld Brokerage I.E.F. (Direct) - Growth Plan,5000,23-Dec-1997,,
JM Financial Asset Management Limited,139257,JM Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,JM Liquid Fund Unclaimed Redemption (Direct) Growth Plan,5000,23-Dec-1997,,INF192K01LA2
JM Financial Asset Management Limited,139258,JM Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,JM Liquid Fund Unclaimed Dividend (Direct) Growth Plan,5000,23-Dec-1997,,INF192K01LB0
JM Financial Asset Management Limited,139259,JM Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,JM Liquid Fund Unclaimed Redemption IEF (Direct) Growth Plan,5000,23-Dec-1997,,INF192K01LC8
JM Financial Asset Management Limited,139260,JM Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,JM Liquid Fund Unclaimed Dividend IEF (Direct) Growth Plan,5000,23-Dec-1997,,INF192K01LD6
JM Financial Asset Management Limited,120406,JM Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,JM Liquid Fund (Direct) - Growth Option,5000,23-Dec-1997,,INF192K01CM6
JM Financial Asset Management Limited,120421,JM G-Sec Fund,Open Ended,Debt Scheme - Gilt Fund,JM G-Sec Fund - (Direct) - Growth Option,Rs 5000/-,29-Sep-1992,,INF192K01CR5
JM Financial Asset Management Limited,120486,JM Value Fund,Open Ended,Equity Scheme - Value Fund,JM Value Fund (Direct) - Growth Option,Rs.5000/- & in multiples of any amount thereafter,25-Mar-1997,24-Apr-1997,INF192K01BT3
Kotak Mahindra Asset Management Company Limited.,119757,Kotak Gilt Fund,Open Ended,Debt Scheme - Gilt Fund,Kotak Gilt-Investment  Provident Fund and Trust-Growth - Direct,500,02-Jan-2000,02-Jan-2000,INF174K01KM7
Kotak Mahindra Asset Management Company Limited.,119759,Kotak Gilt Fund,Open Ended,Debt Scheme - Gilt Fund,Kotak Gilt-Investment Regular-Growth - Direct,500,02-Jan-2000,02-Jan-2000,INF174K01KE4
Kotak Mahindra Asset Management Company Limited.,133035,Kotak Aggressive Hybrid Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Kotak Aggressive Hybrid Fund - Direct Plan -Growth,Rs.1000,29-Nov-1999,29-Nov-1999,INF174K01F00
Kotak Mahindra Asset Management Company Limited.,119735,Kotak Bond Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond Fund - Growth - Direct,5000,25-Nov-1999,25-Nov-1999,INF174K01JC0
LIC Mutual Fund Asset Management Limited,120264,LIC MF Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,LIC MF Flexi Cap Fund-Direct Plan-Growth,2000,16-Apr-1998,30-Apr-1998,INF767K01EG3
LIC Mutual Fund Asset Management Limited,120279,LIC MF Medium to Long Duration Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,LIC MF Medium to Long Duration Fund-Direct Plan-Growth,5000/-,26-Mar-1999,16-Apr-1999,INF767K01EW0
LIC Mutual Fund Asset Management Limited,120282,LIC MF Gilt Fund,Open Ended,Debt Scheme - Gilt Fund,LIC MF Gilt Fund-Direct Plan-Growth,10000,15-Nov-1999,29-Nov-1999,INF767K01EZ3
LIC Mutual Fund Asset Management Limited,120261,LIC MF Aggressive Hybrid Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,LIC MF Aggressive Hybrid Fund-Direct Plan-Growth,Rs.1000/-,01-Jan-1991,01-Jan-1991,INF767K01ED0
LIC Mutual Fund Asset Management Limited,120267,LIC MF Large Cap Fund,Open Ended,Equity Scheme - Large Cap Fund,LIC MF Large Cap Fund-Direct Plan-Growth,Rs. 2000,01-Sep-1994,15-Sep-1994,INF767K01EJ7
ICICI Prudential Asset Management Company Limited,120287,ICICI Prudential Large & Mid Cap Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,ICICI Prudential Blended Plan A - Direct Plan -  Growth,Rs. 5000/- (plus in multiple of Re. 1/-),01-Jun-1998,,
ICICI Prudential Asset Management Company Limited,120596,ICICI Prudential Large & Mid Cap Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth,Rs. 5000/- (plus in multiple of Re. 1/-),01-Jun-1998,,INF109K011O5
ICICI Prudential Asset Management Company Limited,120587,ICICI Prudential FMCG Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,ICICI Prudential FMCG Fund - Direct Plan -  Growth,Rs. 5000/- (plus in multiple of Re. 1/-),04-Dec-2012,,INF109K01Z14
ICICI Prudential Asset Management Company Limited,120592,ICICI Prudential ELSS Tax Saver Fund,Open Ended,Equity Scheme - ELSS,ICICI Prudential ELSS Tax Saver Fund - Direct Plan - Growth,Rs. 500/- (plus in multiple of Re. 1/-),11-Dec-2012,,INF109K01Y31
ICICI Prudential Asset Management Company Limited,120251,ICICI Prudential Equity & Debt Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,5000,01-Jan-2000,,INF109K01Y07
ICICI Prudential Asset Management Company Limited,120594,ICICI Prudential Technology Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,ICICI Prudential Technology Fund - Direct Plan -  Growth,Rs. 5000/- (plus in multiple of Re. 1/-),03-Feb-2009,,INF109K01Z48
ICICI Prudential Asset Management Company Limited,120743,ICICI Prudential Long Term Bond Fund,Open Ended,Debt Scheme - Long Duration Fund,ICICI Prudential Long Term Bond Fund - Direct Plan - Growth,5000,11-Dec-2012,,INF109K017L8
ICICI Prudential Asset Management Company Limited,120590,ICICI Prudential Gilt Fund,Open Ended,Debt Scheme - Gilt Fund,ICICI Prudential Gilt Fund - Direct Plan - Growth,5,04-Dec-2012,,INF109K018C5
ICICI Prudential Asset Management Company Limited,120608,ICICI Prudential Gilt Fund,Open Ended,Debt Scheme - Gilt Fund,ICICI Prudential Short Term Gilt Fund - Direct Plan -  Growth,5,04-Dec-2012,,INF109K014D2
Nippon Life India Asset Management Limited,118665,Nippon India Growth Mid Cap Fund,Open Ended,Equity Scheme - Mid Cap Fund,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Bonus Option,Rs. 5000 and in multiples of Re.1 thereafter,25-Sep-1995,,INF204K01E21
Nippon Life India Asset Management Limited,118666,Nippon India Growth Mid Cap Fund,Open Ended,Equity Scheme - Mid Cap Fund,NIPPON INDIA GROWTH MID CAP FUND - DIRECT Plan - IDCW Option,Rs. 5000 and in multiples of Re.1 thereafter,25-Sep-1995,,INF204K01E39INF204K01E47
Nippon Life India Asset Management Limited,118668,Nippon India Growth Mid Cap Fund,Open Ended,Equity Scheme - Mid Cap Fund,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Growth Option,Rs. 5000 and in multiples of Re.1 thereafter,25-Sep-1995,,INF204K01E54
Nippon Life India Asset Management Limited,118675,Nippon India Vision Large & Mid Cap Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Bonus Option,5000/-,25-Sep-1995,,INF204K01E96
Nippon Life India Asset Management Limited,118678,Nippon India Vision Large & Mid Cap Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Growth Option,5000/-,25-Sep-1995,,INF204K01F20
Nippon Life India Asset Management Limited,118687,Nippon India Medium to Long Duration Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,Nippon India Medium to Long Duration Fund - Direct Plan Growth Plan - Growth Option,Rs. 5000 & in multiples of Re. 1 thereafter,20-Dec-1997,20-Dec-1997,INF204K01XS2
Nippon Life India Asset Management Limited,118679,Nippon India Medium to Long Duration Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,Nippon India Medium to Long Duration  Fund - Direct Plan Growth Plan-Bonus Option,Rs. 5000 & in multiples of Re. 1 thereafter,20-Dec-1997,20-Dec-1997,INF204K01F38
Taurus Asset Management Company Limited,118883,Taurus Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,Taurus Flexi Cap Fund - Direct Plan - Growth,Rs 5000 and in multiples of Re 1 thereafter,29-Jan-1994,,INF044D01BU9
Taurus Asset Management Company Limited,118872,Taurus Mid Cap Fund,Open Ended,Equity Scheme - Mid Cap Fund,Taurus Mid Cap Fund - Direct Plan - Growth,Rs. 500 and in multiples of Re 1 therafter,05-Sep-1994,,INF044D01CA9
Taurus Asset Management Company Limited,118866,Taurus ELSS Tax Saver Fund,Open Ended,Equity Scheme - ELSS,Taurus ELSS Tax Saver Fund - Direct Plan - Growth,Rs 500 and in multiples of Rs 500 thereafter,05-Mar-2007,05-Mar-2007,INF044D01CG6INF044D01AA3
Franklin Templeton Asset Management (India) Private Limited,118581,Franklin India NSE Nifty 50 Index Fund,Open Ended,Other Scheme - Index Funds,Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND- Direct - Growth,Rs. 2000,04-Aug-2000,,INF090I01GS4
Franklin Templeton Asset Management (India) Private Limited,118498,Franklin India Government Securities Fund,Open Ended,Debt Scheme - Gilt Fund,Franklin India Government Securities Fund - Direct - Growth,Growth -10000 and Diviedend - 25000,21-Jun-1999,,INF090I01HS2
Franklin Templeton Asset Management (India) Private Limited,118494,Templeton India Value Fund,Open Ended,Equity Scheme - Value Fund,Templeton India Value Fund - Direct - Growth,Rs.5000,10-Sep-1996,,INF090I01GY2
Franklin Templeton Asset Management (India) Private Limited,118495,Franklin India Dynamic Accrual Fund (No. of segregated portfolios- 3),Open Ended,Debt Scheme - Dynamic Bond,Franklin India Dynamic Accrual Fund - Direct - Growth,10000,05-Mar-1997,,INF090I01HB8
Franklin Templeton Asset Management (India) Private Limited,147988,Franklin India Dynamic Accrual Fund (No. of segregated portfolios- 3),Open Ended,Debt Scheme - Dynamic Bond,Franklin India Dynamic Accrual Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct-Growth Plan,10000,05-Mar-1997,,INF090I01TX7
Franklin Templeton Asset Management (India) Private Limited,148308,Franklin India Dynamic Accrual Fund (No. of segregated portfolios- 3),Open Ended,Debt Scheme - Dynamic Bond,Franklin India Dynamic Accrual Fund - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Direct Growth Plan,10000,05-Mar-1997,,INF090I01WD3
Franklin Templeton Asset Management (India) Private Limited,147984,Franklin India Dynamic Accrual Fund (No. of segregated portfolios- 3),Open Ended,Debt Scheme - Dynamic Bond,Franklin India Dynamic Accrual Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Plan,10000,05-Mar-1997,,INF090I01TT5
Franklin Templeton Asset Management (India) Private Limited,147999,Franklin India Low Duration Fund (No. of Segregated Portfolios-2),Open Ended,Debt Scheme - Low Duration Fund,Franklin India Low Duration Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct- Growth Plan,Rs. 10000 (Growth Plan) Rs.25000 (Dividend Plans),07-Feb-2000,,INF090I01UJ4
Franklin Templeton Asset Management (India) Private Limited,118530,Franklin India Low Duration Fund (No. of Segregated Portfolios-2),Open Ended,Debt Scheme - Low Duration Fund,Franklin India Low Duration Fund - Direct - Growth,Rs. 10000 (Growth Plan) Rs.25000 (Dividend Plans),07-Feb-2000,,INF090I01HG7
Franklin Templeton Asset Management (India) Private Limited,147989,Franklin India Low Duration Fund (No. of Segregated Portfolios-2),Open Ended,Debt Scheme - Low Duration Fund,Franklin India Low Duration Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Plan,Rs. 10000 (Growth Plan) Rs.25000 (Dividend Plans),07-Feb-2000,,INF090I01UD7
Franklin Templeton Asset Management (India) Private Limited,118531,Franklin India Large Cap Fund,Open Ended,Equity Scheme - Large Cap Fund,Franklin India Large Cap Fund- Direct - Growth,Rs.5000,01-Dec-1993,,INF090I01FN7
Franklin Templeton Asset Management (India) Private Limited,118533,Franklin India Mid Cap Fund,Open Ended,Equity Scheme - Mid Cap Fund,Franklin India Mid Cap Fund - Direct - Growth,Rs.5000,01-Dec-1993,,INF090I01FH9
Franklin Templeton Asset Management (India) Private Limited,118535,Franklin India Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,Franklin India Flexi Cap Fund - Direct - Growth,Rs.5000,29-Sep-1994,,INF090I01FK3
Franklin Templeton Asset Management (India) Private Limited,118537,Franklin India Technology Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Franklin India Technology Fund - Direct - Growth,Rs.5000,22-Aug-1998,,INF090I01FE6
Franklin Templeton Asset Management (India) Private Limited,118539,Franklin India Opportunities Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Franklin India Opportunities Fund - Direct - Growth,Rs.5000,21-Feb-2000,,INF090I01GC8
Franklin Templeton Asset Management (India) Private Limited,118540,Franklin India ELSS Tax Saver Fund,Open Ended,Equity Scheme - ELSS,Franklin India ELSS Tax Saver Fund - Direct - Growth,Rs.500,10-Apr-1994,,INF090I01JS8
Franklin Templeton Asset Management (India) Private Limited,118569,Franklin India Corporate Debt Fund,Open Ended,Debt Scheme - Corporate Bond Fund,Franklin India Corporate Debt Fund - Direct - GROWTH,PlanA Rs.50 lakhs; PlanB Rs.25000 (MD&QD),24-Jun-1997,,INF090I01FW8
Franklin Templeton Asset Management (India) Private Limited,118548,Franklin India Retirement Fund,Open Ended,Solution Oriented Scheme - Retirement Fund,Franklin India Retirement Fund - Direct - Growth,Rs.500,31-Mar-1997,,INF090I01JZ3
Franklin Templeton Asset Management (India) Private Limited,118577,Franklin India Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Franklin India Liquid Fund - Super Institutional - Direct - Growth,Rs.1 Lakh (RP),29-Apr-1998,,INF090I01JV2
Franklin Templeton Asset Management (India) Private Limited,118546,Franklin India Aggressive Hybrid Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Franklin India Aggressive Hybrid Fund - Direct - Growth,Rs.5000,10-Dec-1999,,INF090I01FZ1
Canara Robeco Asset Management Company Limited,118285,Canara Robeco ELSS Tax Saver,Open Ended,Equity Scheme - ELSS,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,Rs.500,25-Feb-1993,,INF760K01EL8
Canara Robeco Asset Management Company Limited,118299,Canara Robeco Gilt Fund,Open Ended,Debt Scheme - Gilt Fund,CANARA ROBECO GILT FUND - DIRECT PLAN - GROWTH OPTION,Rs.10000,22-Dec-1999,,INF760K01FC4
Canara Robeco Asset Management Company Limited,118309,Canara Robeco Conservative Hybrid Fund,Open Ended,Hybrid Scheme - Conservative Hybrid Fund,CANARA ROBECO CONSERVATIVE HYBRID FUND - DIRECT PLAN - GROWTH OPTION,5000,24-Apr-1988,,INF760K01GB4
Sundaram Asset Management Company Ltd,119675,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund),Open Ended,Debt Scheme - Medium Duration Fund,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Direct Plan - Growth,Rs.5000/-,16-Oct-1997,,INF903J01PO6
Sundaram Asset Management Company Ltd,119549,Sundaram Diversified Equity,Open Ended,Equity Scheme - ELSS,Sundaram Diversified Equity (ELSS) Direct Plan - Growth,Rs.500/-,22-Nov-1999,,INF903J01NN3
SBI Funds Management Limited,119714,SBI MAGNUM INCOME FUND,Open Ended,Debt Scheme - Medium to Long Duration Fund,SBI Magnum Income Fund-DIRECT PLAN -Growth,5000,31-Dec-2010,31-Dec-2010,INF200K01SR2
SBI Funds Management Limited,120578,SBI TECHNOLOGY OPPORTUNITIES FUND,Open Ended,Equity Scheme - Sectoral/ Thematic,SBI TECHNOLOGY OPPORTUNITIES FUND - DIRECT PLAN - GROWTH,5000,01-Jan-1993,01-Jan-1993,INF200K01RV6
SBI Funds Management Limited,120575,SBI CONSUMPTION OPPORTUNITIES FUND,Open Ended,Equity Scheme - Sectoral/ Thematic,SBI CONSUMPTION OPPORTUNITIES FUND - DIRECT PLAN - GROWTH,5000,01-Jan-1993,01-Jan-1993,INF200K01RM5
UTI Asset Mgmt. Co. Ltd.,120656,UTI - Large Cap Fund,Open Ended,Equity Scheme - Large Cap Fund,UTI Large Cap Fund - Direct Plan - Growth Option,5000,01-Feb-2003,,INF789F01US8
UTI Asset Mgmt. Co. Ltd.,120662,UTI - Flexi Cap Fund.,Open Ended,Equity Scheme - Flexi Cap Fund,UTI - Flexi Cap Fund-Growth Option - Direct,Rs.5000/-,20-Apr-1992,,INF789F01TC4
UTI Asset Mgmt. Co. Ltd.,120665,UTI Large & Mid Cap Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,UTI Large & Mid Cap Fund - Direct Plan - Growth Option,Rs. 5000/-,20-May-2009,25-May-2009,INF789F01UG3
UTI Asset Mgmt. Co. Ltd.,120674,UTI Aggressive Hybrid Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,UTI Aggressive Hybrid Fund -Direct Plan - Growth,Rs.10000,02-Jan-1995,,INF789F01SK9
UTI Asset Mgmt. Co. Ltd.,120299,UTI - Money Market Fund,Open Ended,Debt Scheme - Money Market Fund,UTI MMF - Direct Plan - Growth Option,10000,23-Apr-1997,,INF789F01XV6
UTI Asset Mgmt. Co. Ltd.,120682,UTI - MNC Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,UTI - MNC Fund - Growth Option - Direct,5000,01-Feb-2003,,INF789F01UD0
UTI Asset Mgmt. Co. Ltd.,120689,UTI Medium to Long Duration Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,UTI Medium to Long Duration Fund-Growth - Direct,Rs. 5000/,04-May-1998,,INF789F01SQ6
UTI Asset Mgmt. Co. Ltd.,120782,UTI - Healthcare Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,UTI Healthcare Fund - Direct Plan - Growth Option,Rs. 5000/-,27-May-1999,,INF789F01TO9
UTI Asset Mgmt. Co. Ltd.,120785,UTI - Overnight Fund,Open Ended,Debt Scheme - Overnight Fund,UTI - Overnight Fund - Direct Plan - Growth Option,Rs.10000/,23-Aug-1999,,INF789FB1S71
UTI Asset Mgmt. Co. Ltd.,120715,UTI ELSS Tax Saver Fund,Open Ended,Equity Scheme - ELSS,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,Rs 500/-,15-Nov-1999,,INF789F01TF7
UTI Asset Mgmt. Co. Ltd.,120716,UTI Nifty 50 Index Fund,Open Ended,Other Scheme - Index Funds,UTI Nifty 50 Index Fund - Growth Option- Direct,5000.00,28-Mar-2000,,INF789F01XA0
Kotak Mahindra Asset Management Company Limited.,119766,Kotak Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Kotak Liquid Fund - Direct Plan - Growth,5000,04-Oct-2000,05-Oct-2000,INF174K01NE8
Nippon Life India Asset Management Limited,118701,Nippon India Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,100 for TP & 5000 for CP,16-Mar-1998,16-Mar-1998,INF204K01ZH0
Nippon Life India Asset Management Limited,118807,Nippon India Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus,Rs. 1000 & Rs. 5000,16-Aug-2000,14-Sep-2000,INF204K01D63
Nippon Life India Asset Management Limited,118814,Nippon India Corporate Bond Fund,Open Ended,Debt Scheme - Corporate Bond Fund,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,Rs. 1000 & Rs. 5000,16-Aug-2000,14-Sep-2000,INF204K01C15
LIC Mutual Fund Asset Management Limited,120270,LIC MF ELSS Tax Saver,Open Ended,Equity Scheme - ELSS,LIC MF ELSS Tax Saver-Direct Plan-Growth,Rs. 500/-,11-Jan-1997,11-Jan-1997,INF767K01EM1
HDFC Asset Management Company Limited,119091,HDFC Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,HDFC Liquid Fund - Growth Option - Direct Plan,REFER SID,17-Oct-2000,,INF179KB1HP9
Franklin Templeton Asset Management (India) Private Limited,118574,Franklin India Conservative Hybrid Fund,Open Ended,Hybrid Scheme - Conservative Hybrid Fund,Franklin India Conservative Hybrid Fund - Direct - GROWTH,10000,25-Sep-2000,,INF090I01GF1
Franklin Templeton Asset Management (India) Private Limited,148302,Franklin India Conservative Hybrid Fund,Open Ended,Hybrid Scheme - Conservative Hybrid Fund,Franklin India Conservative Hybrid Fund - Segregated Portfolio 1 (10.25% Yes Bank ltd CO 05Mar20) - Direct Growth Plan,10000,25-Sep-2000,,INF090I01WH4
ICICI Prudential Asset Management Company Limited,120668,ICICI Prudential MIP,Open Ended,Income,ICICI Prudential MIP - Direct Plan -  Growth,3,28-Sep-2000,,INF109K01U35
HDFC Asset Management Company Limited,118929,HDFC Long Term Advantage Plan,Open Ended,Equity Scheme - ELSS,HDFC Long Term Advantage Plan - Growth Option - Direct Plan,For new & existing investors  Rs.500 and in multip,26-Dec-2000,27-Dec-2000,INF179K01WX8
Sahara Asset Management Company Private Limited,120291,SaharaTax Gain,Open Ended,ELSS,SaharaTax Gain-Growth- direct,500,31-Dec-1997,,INF515L01809
quant Money Managers Limited,120841,Quant Mid Cap Fund,Open Ended,Equity Scheme - Mid Cap Fund,quant Mid Cap Fund - Growth Option - Direct Plan,Rs. 5000/-,12-Feb-2001,26-Feb-2001,INF966L01887
quant Money Managers Limited,120819,Quant Aggressive Hybrid Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,quant Aggressive Hybrid Fund-Growth Option-Direct Plan,Rs. 5000/-,19-Feb-2001,20-Mar-2001,INF966L01556
quant Money Managers Limited,120823,Quant Multi Cap Fund,Open Ended,Equity Scheme - Multi Cap Fund,quant Multi Cap Fund-GROWTH OPTION-Direct Plan,Rs. 5000/-,19-Feb-2001,20-Mar-2001,INF966L01614
quant Money Managers Limited,120821,Quant Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,quant Multi Asset Allocation Fund-GROWTH OPTION-Direct Plan,Rs. 5000/-,19-Feb-2001,20-Mar-2001,INF966L01580
Franklin Templeton Asset Management (India) Private Limited,118508,Franklin India Floating Rate Fund,Open Ended,Debt Scheme - Floater Fund,Franklin India Floating Rate Fund - Direct - Growth,Rs. 1000,23-Apr-2001,,INF090I01LK1
Tata Asset Management Limited,119053,Tata Aggressive Hybrid Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Tata Aggressive Hybrid Fund -Direct Plan- Growth Option,5000.00,30-Aug-1995,,INF277K01MN2
