AMC,Code,Scheme Name,Scheme Type,Scheme Category,Scheme NAV Name,Scheme Minimum Amount,Launch Date,Closure Date,ISIN Div Payout/ ISIN GrowthISIN Div Reinvestment
Nippon Life India Asset Management Limited,143291,Reliance Fixed Horizon Fund XXXVII- Series 7,Close Ended,Income,Reliance Fixed Horizon Fund XXXVII- Series 7- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,16-May-2018,,INF204KB1XE9
UTI Asset Mgmt. Co. Ltd.,143341,UTI - Nifty Next 50 Index Fund,Open Ended,Other Scheme - Index Funds,UTI Nifty Next 50 Index Fund - Direct Plan - Growth Option,Rs 5000 and in multiple of Rs 1,08-Jun-2018,,INF789FC12T1
Kotak Mahindra Asset Management Company Limited.,143343,Kotak FMP Series 226,Close Ended,Income,Kotak FMP Series 226 - Direct Plan- Growth Option,200000000,10-May-2018,,INF174K017X3
Nippon Life India Asset Management Limited,143348,Reliance Fixed Horizon Fund XXXVII- Series 8,Close Ended,Income,Reliance Fixed Horizon Fund XXXVII- Series 8- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,21-May-2018,,INF204KB1XI0
UTI Asset Mgmt. Co. Ltd.,143360,UTI - Fixed Term Income fund - Series XXIX - IV (1422 DAYS),Close Ended,Income,UTI Fixed Term Income Fund Series XXIX-IV (1422 days) - Direct Plan - Growth Option,Rs 5000,11-May-2018,,INF789FC19S8
Franklin Templeton Asset Management (India) Private Limited,143370,Franklin India Fixed Maturity Plans -series 3- Plan E (1104) days,Close Ended,Income,Franklin India Fixed Maturity Plans -series 3- Plan E (1104) days- Growth -Direct,5000,17-May-2018,22-May-2018,INF090I01OD0
IL&FS Infra Asset Management Limited,143396,IL&FS Infrastructure Debt Fund-3 Series 3-B,Close Ended,Income,IL&FS Infrastructure Debt Fund Series 3B - Growth - Direct,10000000,05-Apr-2018,,INF613Q01108
UTI Asset Mgmt. Co. Ltd.,143437,UTI - Fixed Term Income fund - Series XXIX - V (1113 DAYS),Close Ended,Income,UTI Fixed Term Income Fund Series XXIX-V (1113 days) - Direct Plan - Growth Option,Rs 5000,21-May-2018,,INF789FC11U1
Nippon Life India Asset Management Limited,143453,Nippon India Fixed Horizon Fund XXXVII- Series 9,Close Ended,Income,Nippon India Fixed Horizon Fund XXXVII- Series 9- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,25-May-2018,,INF204KB1XM2
Nippon Life India Asset Management Limited,143457,Nippon India Fixed Horizon Fund XXXVII- Series 10,Close Ended,Income,Nippon India Fixed Horizon Fund XXXVII- Series 10- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,28-May-2018,,INF204KB1XQ3
Baroda BNP Paribas Asset Management India Private Limited,143508,Baroda BNP Paribas Ultra Short Duration Fund,Open Ended,Debt Scheme - Ultra Short Duration Fund,Baroda BNP Paribas Ultra Short Duration Fund- Direct Plan- Growth,5000,24-May-2018,29-May-2018,INF955L01HA8
Kotak Mahindra Asset Management Company Limited.,143479,Kotak FMP Series 227,Close Ended,Income,Kotak FMP Series 227 - Direct Plan - Growth Option.,200000000,21-May-2018,,INF174K011Y4
Nippon Life India Asset Management Limited,147675,Nippon India Ultra Short Duration Fund,Open Ended,Debt Scheme - Ultra Short Duration Fund,Nippon India Ultra Short Duration Fund - Segregated Portfolio 1 - Direct Plan - Growth Option,Rs.10000 & in multiples of Re. 1 thereafter,01-Dec-2001,06-Dec-2001,INF204KB10H2
Nippon Life India Asset Management Limited,143494,Nippon India Ultra Short Duration Fund,Open Ended,Debt Scheme - Ultra Short Duration Fund,Nippon India Ultra Short Duration Fund- Direct Plan- Growth Option,Rs.10000 & in multiples of Re. 1 thereafter,01-Dec-2001,06-Dec-2001,INF204K01YH3
Nippon Life India Asset Management Limited,143529,Reliance Fixed Horizon Fund XXXVII- Series 11,Close Ended,Income,Reliance Fixed Horizon Fund XXXVII- Series 11- Direct Plan- Growth Option,Rs 5000 and in multiples of Re. 1 thereafter,01-Jun-2018,,INF204KB1XU5
Invesco Asset Management (India) Private Limited,143537,Invesco India Aggressive Hybrid Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Invesco India Aggressive Hybrid Fund - Direct Plan - Growth,Rs. 5000 and in multiples of Re. 1 thereafter,11-Jun-2018,,INF205K014Q7
UTI Asset Mgmt. Co. Ltd.,143562,UTI - Fixed Term Income fund - Series XXIX - VI (1135 DAYS),Close Ended,Income,UTI Fixed Term Income Fund Series XXIX-VI (1135 days) - Direct Plan - Growth Option,Rs 5000,25-May-2018,,INF789FC11V9
JM Financial Asset Management Limited,143597,JM Money Market Fund,Open Ended,Debt Scheme - Money Market Fund,JM Money Market Fund (Direct) - Growth,Rs.5000/- & in multiples of Re.1/-,25-Sep-2006,27-Sep-2006,INF192K01DS1
JM Financial Asset Management Limited,143612,JM Low Duration Fund,Open Ended,Debt Scheme - Low Duration Fund,JM Low Duration Fund (Direct) - Growth,Rs.5000/- & in multiples of Re.1/-,25-Sep-2006,27-Sep-2006,INF192K01DW3
