date,portfolio,holdings
2019-01-01,1000000.0,"{'Aditya Birla Sun Life Flexi Cap Fund': {'qty': 268.940107, 'buy': np.float64(743.66), 'buy_dt': Timestamp('2019-01-01 00:00:00')}, 'JM Flexicap Fund': {'qty': 6231.985666, 'buy': np.float64(32.0925), 'buy_dt': Timestamp('2019-01-01 00:00:00')}, 'Kotak Flexicap Fund': {'qty': 5644.615037, 'buy': np.float64(35.432), 'buy_dt': Timestamp('2019-01-01 00:00:00')}, 'Motilal Oswal Flexi Cap Fund': {'qty': 7573.605983, 'buy': np.float64(26.4075), 'buy_dt': Timestamp('2019-01-01 00:00:00')}, 'HDFC Flexi Cap Fund': {'qty': 300.550759, 'buy': np.float64(665.445), 'buy_dt': Timestamp('2019-01-01 00:00:00')}}"
2020-01-01,1649683.6607361368,"{'JM Flexicap Fund': {'qty': 6231.985666, 'buy': np.float64(32.0925), 'buy_dt': Timestamp('2019-01-01 00:00:00')}, 'Kotak Flexicap Fund': {'qty': 5644.615037, 'buy': np.float64(35.432), 'buy_dt': Timestamp('2019-01-01 00:00:00')}, 'Canara Robeco Flexi Cap Fund': {'qty': 2227.195438, 'buy': np.float64(148.14), 'buy_dt': Timestamp('2020-01-01 00:00:00')}, 'Edelweiss Flexi Cap Fund': {'qty': 20784.725472, 'buy': np.float64(15.874), 'buy_dt': Timestamp('2020-01-01 00:00:00')}, 'DSP Flexi Cap Fund': {'qty': 7355.792842, 'buy': np.float64(44.854), 'buy_dt': Timestamp('2020-01-01 00:00:00')}}"
2021-01-01,2302706.572756364,"{'Canara Robeco Flexi Cap Fund': {'qty': 2227.195438, 'buy': np.float64(148.14), 'buy_dt': Timestamp('2020-01-01 00:00:00')}, 'Axis Flexi Cap Fund': {'qty': 28747.897288, 'buy': np.float64(16.02), 'buy_dt': Timestamp('2021-01-01 00:00:00')}, 'UTI - Flexi Cap Fund.': {'qty': 2208.144972, 'buy': np.float64(208.5648), 'buy_dt': Timestamp('2021-01-01 00:00:00')}, 'Parag Parikh Flexi Cap Fund': {'qty': 12410.936667, 'buy': np.float64(37.1077), 'buy_dt': Timestamp('2021-01-01 00:00:00')}, 'PGIM India Flexi Cap Fund': {'qty': 22269.889485, 'buy': np.float64(20.68), 'buy_dt': Timestamp('2021-01-01 00:00:00')}}"
2022-01-01,2145010.28924226,"{'UTI - Flexi Cap Fund.': {'qty': 2208.144972, 'buy': np.float64(208.5648), 'buy_dt': Timestamp('2021-01-01 00:00:00')}, 'Parag Parikh Flexi Cap Fund': {'qty': 12410.936667, 'buy': np.float64(37.1077), 'buy_dt': Timestamp('2021-01-01 00:00:00')}, 'PGIM India Flexi Cap Fund': {'qty': 22269.889485, 'buy': np.float64(20.68), 'buy_dt': Timestamp('2021-01-01 00:00:00')}, 'Quant Flexi Cap Fund': {'qty': 6986.54905, 'buy': np.float64(61.404), 'buy_dt': Timestamp('2022-01-01 00:00:00')}, 'BANK OF INDIA FLEXI CAP FUND': {'qty': 20764.862432, 'buy': np.float64(20.66), 'buy_dt': Timestamp('2022-01-01 00:00:00')}}"
2023-01-01,1539570.160560574,"{'Parag Parikh Flexi Cap Fund': {'qty': 12410.936667, 'buy': np.float64(37.1077), 'buy_dt': Timestamp('2021-01-01 00:00:00')}, 'PGIM India Flexi Cap Fund': {'qty': 22269.889485, 'buy': np.float64(20.68), 'buy_dt': Timestamp('2021-01-01 00:00:00')}, 'Quant Flexi Cap Fund': {'qty': 6986.54905, 'buy': np.float64(61.404), 'buy_dt': Timestamp('2022-01-01 00:00:00')}, 'BANK OF INDIA FLEXI CAP FUND': {'qty': 20764.862432, 'buy': np.float64(20.66), 'buy_dt': Timestamp('2022-01-01 00:00:00')}, 'Franklin India Flexi Cap Fund': {'qty': 278.652686, 'buy': np.float64(1105.0101), 'buy_dt': Timestamp('2023-01-01 00:00:00')}}"
2024-01-01,2649047.416812121,"{'Quant Flexi Cap Fund': {'qty': 6986.54905, 'buy': np.float64(61.404), 'buy_dt': Timestamp('2022-01-01 00:00:00')}, 'BANK OF INDIA FLEXI CAP FUND': {'qty': 20764.862432, 'buy': np.float64(20.66), 'buy_dt': Timestamp('2022-01-01 00:00:00')}, 'Franklin India Flexi Cap Fund': {'qty': 278.652686, 'buy': np.float64(1105.0101), 'buy_dt': Timestamp('2023-01-01 00:00:00')}, 'HDFC Flexi Cap Fund': {'qty': 324.890392, 'buy': np.float64(1630.733), 'buy_dt': Timestamp('2024-01-01 00:00:00')}, 'JM Flexicap Fund': {'qty': 6067.655592, 'buy': np.float64(87.317), 'buy_dt': Timestamp('2024-01-01 00:00:00')}}"
2025-01-01,3040442.3911020164,"{'HDFC Flexi Cap Fund': {'qty': 324.890392, 'buy': np.float64(1630.733), 'buy_dt': Timestamp('2024-01-01 00:00:00')}, 'JM Flexicap Fund': {'qty': 6067.655592, 'buy': np.float64(87.317), 'buy_dt': Timestamp('2024-01-01 00:00:00')}, 'Invesco India Flexi Cap Fund': {'qty': 30557.209961, 'buy': np.float64(19.9), 'buy_dt': Timestamp('2025-01-01 00:00:00')}, 'Motilal Oswal Flexi Cap Fund': {'qty': 8576.416006, 'buy': np.float64(70.9024), 'buy_dt': Timestamp('2025-01-01 00:00:00')}, 'ITI Flexi Cap Fund': {'qty': 32834.682971, 'buy': np.float64(18.5197), 'buy_dt': Timestamp('2025-01-01 00:00:00')}}"
