rebalance_date,top5,bought_funds,sold_funds,sold_fund,units,buy_nav,buy_date,sell_nav,sell_date,profit_loss,portfolio_value,portfolio_value_breakdown
2020-10-01,"Quant Flexi Cap Fund (30.59%), Parag Parikh Flexi Cap Fund (25.72%), PGIM India Flexi Cap Fund (19.53%), UTI - Flexi Cap Fund. (13.21%), Canara Robeco Flexi Cap Fund (10.78%)",Canara Robeco Flexi Cap Fund,Axis Flexi Cap Fund,Axis Flexi Cap Fund,16785.77,11.1,2019-01-01 00:00:00,12.9,2020-10-01 00:00:00,30214.39,1165021.34,"[{""fund"": ""Parag Parikh Flexi Cap Fund"", ""units"": 7107.6678168362805, ""nav"": 32.9793, ""value"": 234405.90923178877}, {""fund"": ""PGIM India Flexi Cap Fund"", ""units"": 13887.259094221365, ""nav"": 16.71, ""value"": 232056.099464439}, {""fund"": ""Axis Flexi Cap Fund"", ""units"": 16785.773356133453, ""nav"": 12.9, ""value"": 216536.47629412156}, {""fund"": ""Quant Flexi Cap Fund"", ""units"": 7703.450461953734, ""nav"": 32.5691, ""value"": 250894.44844041736}, {""fund"": ""UTI - Flexi Cap Fund."", ""units"": 1413.5602614778084, ""nav"": 163.508, ""value"": 231128.4112337135}]"
2021-01-01,"Quant Flexi Cap Fund (50.17%), PGIM India Flexi Cap Fund (39.45%), Parag Parikh Flexi Cap Fund (33.47%), UTI - Flexi Cap Fund. (33.0%), Canara Robeco Flexi Cap Fund (24.03%)",,,,,,,,,,1404365.64,"[{""fund"": ""Quant Flexi Cap Fund"", ""units"": 7154.151294720949, ""nav"": 39.0482, ""value"": 279356.7305865226}, {""fund"": ""Parag Parikh Flexi Cap Fund"", ""units"": 7065.167208912743, ""nav"": 37.1077, ""value"": 262172.1052381714}, {""fund"": ""PGIM India Flexi Cap Fund"", ""units"": 13944.001731471935, ""nav"": 20.68, ""value"": 288361.9558068396}, {""fund"": ""UTI - Flexi Cap Fund."", ""units"": 1425.032835903418, ""nav"": 208.5648, ""value"": 297211.68841362913}, {""fund"": ""Canara Robeco Flexi Cap Fund"", ""units"": 1508.9972730580666, ""nav"": 183.74, ""value"": 277263.1589516892}]"
2021-04-01,"Quant Flexi Cap Fund (118.02%), PGIM India Flexi Cap Fund (106.68%), Franklin India Flexi Cap Fund (95.65%), UTI - Flexi Cap Fund. (91.04%), Parag Parikh Flexi Cap Fund (87.7%)",Franklin India Flexi Cap Fund,Canara Robeco Flexi Cap Fund,Canara Robeco Flexi Cap Fund,1528.64,154.41,2020-10-01 00:00:00,197.27,2021-04-01 00:00:00,65517.7,1521765.04,"[{""fund"": ""Quant Flexi Cap Fund"", ""units"": 7192.985279715082, ""nav"": 42.8113, ""value"": 307941.0507054663}, {""fund"": ""PGIM India Flexi Cap Fund"", ""units"": 13581.872717571105, ""nav"": 22.59, ""value"": 306814.50468993123}, {""fund"": ""Parag Parikh Flexi Cap Fund"", ""units"": 7569.133301157723, ""nav"": 40.3943, ""value"": 305749.8413069554}, {""fund"": ""UTI - Flexi Cap Fund."", ""units"": 1346.6947816667553, ""nav"": 222.5478, ""value"": 299703.9609314167}, {""fund"": ""Canara Robeco Flexi Cap Fund"", ""units"": 1528.6444312581389, ""nav"": 197.27, ""value"": 301555.68695429305}]"
2021-07-01,"Quant Flexi Cap Fund (112.97%), PGIM India Flexi Cap Fund (79.26%), BANK OF INDIA FLEXI CAP FUND (76.69%), UTI - Flexi Cap Fund. (70.49%), Franklin India Flexi Cap Fund (66.05%)",BANK OF INDIA FLEXI CAP FUND,Parag Parikh Flexi Cap Fund,Parag Parikh Flexi Cap Fund,7534.55,27.8,2020-01-01 00:00:00,45.41,2021-07-01 00:00:00,132643.55,1745319.62,"[{""fund"": ""Quant Flexi Cap Fund"", ""units"": 7109.174655233839, ""nav"": 55.3629, ""value"": 393584.52552024554}, {""fund"": ""PGIM India Flexi Cap Fund"", ""units"": 13472.90876129316, ""nav"": 25.85, ""value"": 348274.6914794282}, {""fund"": ""Franklin India Flexi Cap Fund"", ""units"": 363.3750346896603, ""nav"": 910.9821, ""value"": 331028.1521891596}, {""fund"": ""UTI - Flexi Cap Fund."", ""units"": 1367.5848915047127, ""nav"": 241.5313, ""value"": 330314.5567054922}, {""fund"": ""Parag Parikh Flexi Cap Fund"", ""units"": 7534.553363162933, ""nav"": 45.4065, ""value"": 342117.69728445774}]"
2021-10-01,"Quant Flexi Cap Fund (88.49%), PGIM India Flexi Cap Fund (75.16%), Franklin India Flexi Cap Fund (74.5%), HDFC Flexi Cap Fund (74.08%), UTI - Flexi Cap Fund. (67.95%)",HDFC Flexi Cap Fund,BANK OF INDIA FLEXI CAP FUND,BANK OF INDIA FLEXI CAP FUND,19676.66,17.74,2021-07-01 00:00:00,19.5,2021-10-01 00:00:00,34630.92,1955195.37,"[{""fund"": ""Quant Flexi Cap Fund"", ""units"": 6305.015175067719, ""nav"": 61.3884, ""value"": 387054.7935731271}, {""fund"": ""PGIM India Flexi Cap Fund"", ""units"": 13503.440024594067, ""nav"": 29.27, ""value"": 395245.68951986835}, {""fund"": ""BANK OF INDIA FLEXI CAP FUND"", ""units"": 19676.658660414694, ""nav"": 19.5, ""value"": 383694.84387808654}, {""fund"": ""UTI - Flexi Cap Fund."", ""units"": 1445.2119648085225, ""nav"": 274.6174, ""value"": 396880.3522246079}, {""fund"": ""Franklin India Flexi Cap Fund"", ""units"": 383.1731980636685, ""nav"": 1023.8704, ""value"": 392319.6955707275}]"
2022-01-01,"Quant Flexi Cap Fund (57.25%), BANK OF INDIA FLEXI CAP FUND (47.78%), Parag Parikh Flexi Cap Fund (46.76%), PGIM India Flexi Cap Fund (45.6%), Franklin India Flexi Cap Fund (40.59%)","BANK OF INDIA FLEXI CAP FUND, Parag Parikh Flexi Cap Fund","UTI - Flexi Cap Fund., HDFC Flexi Cap Fund",UTI - Flexi Cap Fund.,1423.94,141.67,2020-07-01 00:00:00,279.85,2022-01-01 00:00:00,196768.48,1979473.96,"[{""fund"": ""Quant Flexi Cap Fund"", ""units"": 6369.918013065718, ""nav"": 61.404, ""value"": 391138.44567428733}, {""fund"": ""PGIM India Flexi Cap Fund"", ""units"": 13359.722410429911, ""nav"": 30.11, ""value"": 402261.2417780446}, {""fund"": ""Franklin India Flexi Cap Fund"", ""units"": 381.92243369208006, ""nav"": 1041.4784, ""value"": 397763.96516573365}, {""fund"": ""HDFC Flexi Cap Fund"", ""units"": 374.440501942667, ""nav"": 1041.065, ""value"": 389816.9011549427}, {""fund"": ""UTI - Flexi Cap Fund."", ""units"": 1423.9413633414472, ""nav"": 279.8524, ""value"": 398493.407990376}]"
2022-01-01,"Quant Flexi Cap Fund (57.25%), BANK OF INDIA FLEXI CAP FUND (47.78%), Parag Parikh Flexi Cap Fund (46.76%), PGIM India Flexi Cap Fund (45.6%), Franklin India Flexi Cap Fund (40.59%)","BANK OF INDIA FLEXI CAP FUND, Parag Parikh Flexi Cap Fund","UTI - Flexi Cap Fund., HDFC Flexi Cap Fund",HDFC Flexi Cap Fund,374.44,1044.33,2021-10-01 00:00:00,1041.06,2022-01-01 00:00:00,-1222.17,1979473.96,"[{""fund"": ""Quant Flexi Cap Fund"", ""units"": 6369.918013065718, ""nav"": 61.404, ""value"": 391138.44567428733}, {""fund"": ""PGIM India Flexi Cap Fund"", ""units"": 13359.722410429911, ""nav"": 30.11, ""value"": 402261.2417780446}, {""fund"": ""Franklin India Flexi Cap Fund"", ""units"": 381.92243369208006, ""nav"": 1041.4784, ""value"": 397763.96516573365}, {""fund"": ""HDFC Flexi Cap Fund"", ""units"": 374.440501942667, ""nav"": 1041.065, ""value"": 389816.9011549427}, {""fund"": ""UTI - Flexi Cap Fund."", ""units"": 1423.9413633414472, ""nav"": 279.8524, ""value"": 398493.407990376}]"
2022-04-01,"Quant Flexi Cap Fund (46.99%), BANK OF INDIA FLEXI CAP FUND (33.11%), Parag Parikh Flexi Cap Fund (30.86%), PGIM India Flexi Cap Fund (28.38%), HDFC Flexi Cap Fund (28.06%)",HDFC Flexi Cap Fund,Franklin India Flexi Cap Fund,Franklin India Flexi Cap Fund,380.13,837.57,2021-04-01 00:00:00,1045.26,2022-04-01 00:00:00,78945.95,1956113.75,"[{""fund"": ""Quant Flexi Cap Fund"", ""units"": 6447.377896434708, ""nav"": 62.9304, ""value"": 405736.06997379474}, {""fund"": ""BANK OF INDIA FLEXI CAP FUND"", ""units"": 19162.38104320798, ""nav"": 20.22, ""value"": 387463.34469366533}, {""fund"": ""Parag Parikh Flexi Cap Fund"", ""units"": 7269.71363952611, ""nav"": 52.8609, ""value"": 384283.6057276257}, {""fund"": ""PGIM India Flexi Cap Fund"", ""units"": 13148.282708491426, ""nav"": 29.0, ""value"": 381300.19854625134}, {""fund"": ""Franklin India Flexi Cap Fund"", ""units"": 380.12770341917496, ""nav"": 1045.2554, ""value"": 397330.5346884911}]"
2022-07-01,"HDFC Flexi Cap Fund (9.0%), JM Flexicap Fund (5.86%), Franklin India Flexi Cap Fund (3.24%), Parag Parikh Flexi Cap Fund (3.09%), Navi Flexi Cap Fund (1.45%)","JM Flexicap Fund, Franklin India Flexi Cap Fund, Navi Flexi Cap Fund","BANK OF INDIA FLEXI CAP FUND, Quant Flexi Cap Fund, PGIM India Flexi Cap Fund",BANK OF INDIA FLEXI CAP FUND,19348.31,20.66,2022-01-01 00:00:00,17.55,2022-07-01 00:00:00,-60173.23,1734633.67,"[{""fund"": ""Quant Flexi Cap Fund"", ""units"": 6216.752964004133, ""nav"": 55.4461, ""value"": 344694.70651746955}, {""fund"": ""BANK OF INDIA FLEXI CAP FUND"", ""units"": 19348.306168445386, ""nav"": 17.55, ""value"": 339562.77325621655}, {""fund"": ""Parag Parikh Flexi Cap Fund"", ""units"": 7400.9854301755295, ""nav"": 46.8073, ""value"": 346420.14532585506}, {""fund"": ""PGIM India Flexi Cap Fund"", ""units"": 13490.439680205713, ""nav"": 25.17, ""value"": 339554.3667507778}, {""fund"": ""HDFC Flexi Cap Fund"", ""units"": 354.7948945208286, ""nav"": 1027.077, ""value"": 364401.6758797691}]"
2022-07-01,"HDFC Flexi Cap Fund (9.0%), JM Flexicap Fund (5.86%), Franklin India Flexi Cap Fund (3.24%), Parag Parikh Flexi Cap Fund (3.09%), Navi Flexi Cap Fund (1.45%)","JM Flexicap Fund, Franklin India Flexi Cap Fund, Navi Flexi Cap Fund","BANK OF INDIA FLEXI CAP FUND, Quant Flexi Cap Fund, PGIM India Flexi Cap Fund",Quant Flexi Cap Fund,6216.75,26.0,2020-07-01 00:00:00,55.45,2022-07-01 00:00:00,183087.73,1734633.67,"[{""fund"": ""Quant Flexi Cap Fund"", ""units"": 6216.752964004133, ""nav"": 55.4461, ""value"": 344694.70651746955}, {""fund"": ""BANK OF INDIA FLEXI CAP FUND"", ""units"": 19348.306168445386, ""nav"": 17.55, ""value"": 339562.77325621655}, {""fund"": ""Parag Parikh Flexi Cap Fund"", ""units"": 7400.9854301755295, ""nav"": 46.8073, ""value"": 346420.14532585506}, {""fund"": ""PGIM India Flexi Cap Fund"", ""units"": 13490.439680205713, ""nav"": 25.17, ""value"": 339554.3667507778}, {""fund"": ""HDFC Flexi Cap Fund"", ""units"": 354.7948945208286, ""nav"": 1027.077, ""value"": 364401.6758797691}]"
