rebalance_date,top5,bought_funds,sold_funds,pl_report,portfolio_value
2019-01-01,"[('Kotak Flexicap Fund', np.float64(149.98)), ('Aditya Birla Sun Life Flexi Cap Fund', np.float64(149.01)), ('Quant Flexi Cap Fund', np.float64(148.06)), ('SBI FLEXICAP FUND', np.float64(146.32)), ('JM Flexicap Fund', np.float64(135.7))]","['JM Flexicap Fund', 'SBI FLEXICAP FUND', 'Kotak Flexicap Fund', 'Aditya Birla Sun Life Flexi Cap Fund', 'Quant Flexi Cap Fund']",[],[],500000
2020-01-01,"[('Motilal Oswal Flexi Cap Fund', np.float64(84.77)), ('Kotak Flexicap Fund', np.float64(77.66)), ('JM Flexicap Fund', np.float64(75.4)), ('SBI FLEXICAP FUND', np.float64(74.58)), ('Aditya Birla Sun Life Flexi Cap Fund', np.float64(72.85))]",['Motilal Oswal Flexi Cap Fund'],['Quant Flexi Cap Fund'],"[{'fund': 'Quant Flexi Cap Fund', 'units': np.float64(3770.483149710804), 'buy_nav': np.float64(26.5218), 'sell_nav': np.float64(26.5218), 'profit_loss': np.float64(0.0)}]",549461.48
2021-01-01,"[('Parag Parikh Flexi Cap Fund', np.float64(109.28)), ('Quant Flexi Cap Fund', np.float64(108.86)), ('UTI - Flexi Cap Fund.', np.float64(105.97)), ('PGIM India Flexi Cap Fund', np.float64(101.95)), ('JM Flexicap Fund', np.float64(99.11))]","['UTI - Flexi Cap Fund.', 'Parag Parikh Flexi Cap Fund', 'PGIM India Flexi Cap Fund', 'Quant Flexi Cap Fund']","['Motilal Oswal Flexi Cap Fund', 'Kotak Flexicap Fund', 'SBI FLEXICAP FUND', 'Aditya Birla Sun Life Flexi Cap Fund']","[{'fund': 'Motilal Oswal Flexi Cap Fund', 'units': np.float64(3841.018113818223), 'buy_nav': np.float64(28.6102), 'sell_nav': np.float64(28.6102), 'profit_loss': np.float64(0.0)}, {'fund': 'Kotak Flexicap Fund', 'units': np.float64(2745.317056133356), 'buy_nav': np.float64(40.029), 'sell_nav': np.float64(40.029), 'profit_loss': np.float64(0.0)}, {'fund': 'SBI FLEXICAP FUND', 'units': np.float64(2022.9907466070117), 'buy_nav': np.float64(54.3217), 'sell_nav': np.float64(54.3217), 'profit_loss': np.float64(0.0)}, {'fund': 'Aditya Birla Sun Life Flexi Cap Fund', 'units': np.float64(135.09077954929145), 'buy_nav': np.float64(813.47), 'sell_nav': np.float64(813.47), 'profit_loss': np.float64(0.0)}]",627495.73
2022-01-01,"[('Quant Flexi Cap Fund', np.float64(207.53)), ('PGIM India Flexi Cap Fund', np.float64(196.36)), ('Parag Parikh Flexi Cap Fund', np.float64(195.02)), ('UTI - Flexi Cap Fund.', np.float64(173.09)), ('Canara Robeco Flexi Cap Fund', np.float64(165.89))]",['Canara Robeco Flexi Cap Fund'],['JM Flexicap Fund'],"[{'fund': 'JM Flexicap Fund', 'units': np.float64(2959.4318412185257), 'buy_nav': np.float64(42.4065), 'sell_nav': np.float64(42.4065), 'profit_loss': np.float64(0.0)}]",899917.69
2023-01-01,"[('Quant Flexi Cap Fund', np.float64(135.5)), ('Parag Parikh Flexi Cap Fund', np.float64(112.62)), ('PGIM India Flexi Cap Fund', np.float64(104.65)), ('Canara Robeco Flexi Cap Fund', np.float64(92.07)), ('Axis Flexi Cap Fund', np.float64(89.24))]",['Axis Flexi Cap Fund'],['UTI - Flexi Cap Fund.'],"[{'fund': 'UTI - Flexi Cap Fund.', 'units': np.float64(643.1373725467508), 'buy_nav': np.float64(279.8524), 'sell_nav': np.float64(279.8524), 'profit_loss': np.float64(0.0)}]",878593.87
2024-01-01,"[('Quant Flexi Cap Fund', np.float64(245.52)), ('Parag Parikh Flexi Cap Fund', np.float64(191.88)), ('JM Flexicap Fund', np.float64(172.08)), ('PGIM India Flexi Cap Fund', np.float64(161.9)), ('DSP Flexi Cap Fund', np.float64(145.17))]","['DSP Flexi Cap Fund', 'JM Flexicap Fund']","['Axis Flexi Cap Fund', 'Canara Robeco Flexi Cap Fund']","[{'fund': 'Axis Flexi Cap Fund', 'units': np.float64(9166.34186386477), 'buy_nav': np.float64(19.17), 'sell_nav': np.float64(19.17), 'profit_loss': np.float64(0.0)}, {'fund': 'Canara Robeco Flexi Cap Fund', 'units': np.float64(715.9045570596361), 'buy_nav': np.float64(245.45), 'sell_nav': np.float64(245.45), 'profit_loss': np.float64(0.0)}]",1121212.53
2025-01-01,"[('Quant Flexi Cap Fund', np.float64(309.18)), ('Parag Parikh Flexi Cap Fund', np.float64(216.33)), ('JM Flexicap Fund', np.float64(214.44)), ('HDFC Flexi Cap Fund', np.float64(185.24)), ('Franklin India Flexi Cap Fund', np.float64(184.03))]","['HDFC Flexi Cap Fund', 'Franklin India Flexi Cap Fund']","['DSP Flexi Cap Fund', 'PGIM India Flexi Cap Fund']","[{'fund': 'DSP Flexi Cap Fund', 'units': np.float64(2400.7805443577804), 'buy_nav': np.float64(93.404), 'sell_nav': np.float64(93.404), 'profit_loss': np.float64(0.0)}, {'fund': 'PGIM India Flexi Cap Fund', 'units': np.float64(6447.455605669756), 'buy_nav': np.float64(34.78), 'sell_nav': np.float64(34.78), 'profit_loss': np.float64(0.0)}]",1375614.99
