Year,portfolio,annual_return_%
2019,1000000.0,
2020,1649683.6607361368,64.9683660736137
2021,2302706.572756364,39.58473539883576
2022,2145010.28924226,-6.848301272069579
2023,1539570.160560574,-28.225511631254797
2024,2649047.416812121,72.06409195717163
2025,3040442.3911020164,14.774932747746083
